Year,State/Country,Marital Status, Labour Force ('000) 
2007,Kedah,Total, 693.1 
2008,Kedah,Total, 703.0 
2009,Kedah,Total, 732.6 
2010,Kedah,Total, 746.9 
2011,Kedah,Total, 770.0 
2012,Kedah,Total, 810.3 
2013,Kedah,Total, 862.8 
2014,Kedah,Total, 884.1 
2015,Kedah,Total, 905.3 
1982,Kelantan,Total, 319.4 
1983,Kelantan,Total, 301.3 
1984,Kelantan,Total, 341.0 
1985,Kelantan,Total, 344.3 
1986,Kelantan,Total, 365.1 
1987,Kelantan,Total, 375.0 
1988,Kelantan,Total, 393.9 
1989,Kelantan,Total, 388.3 
1990,Kelantan,Total, 390.7 
1992,Kelantan,Total, 404.1 
1993,Kelantan,Total, 413.7 
1995,Kelantan,Total, 427.6 
1996,Kelantan,Total, 460.8 
1997,Kelantan,Total, 429.3 
1998,Kelantan,Total, 449.1 
1999,Kelantan,Total, 451.1 
2000,Kelantan,Total, 437.2 
2001,Kelantan,Total, 448.0 
2002,Kelantan,Total, 439.7 
2003,Kelantan,Total, 491.6 
2004,Kelantan,Total, 455.1 
2005,Kelantan,Total, 454.2 
2006,Kelantan,Total, 469.8 
2007,Kelantan,Total, 486.2 
2008,Kelantan,Total, 500.9 
2009,Kelantan,Total, 517.8 
2010,Kelantan,Total, 547.2 
2011,Kelantan,Total, 555.4 
2012,Kelantan,Total, 592.3 
2013,Kelantan,Total, 619.8 
2014,Kelantan,Total, 646.2 
2015,Kelantan,Total, 676.2 
1982,Melaka,Total, 174.1 
1983,Melaka,Total, 170.3 
1984,Melaka,Total, 171.8 
1985,Melaka,Total, 180.0 
1986,Melaka,Total, 187.7 
1987,Melaka,Total, 192.1 
1988,Melaka,Total, 190.9 
1989,Melaka,Total, 197.8 
1990,Melaka,Total, 187.8 
1992,Melaka,Total, 214.4 
1993,Melaka,Total, 225.6 
1995,Melaka,Total, 227.9 
1996,Melaka,Total, 240.6 
1997,Melaka,Total, 261.5 
1998,Melaka,Total, 248.6 
1999,Melaka,Total, 247.9 
2000,Melaka,Total, 256.9 
2001,Melaka,Total, 272.6 
2002,Melaka,Total, 236.2 
2003,Melaka,Total, 280.6 
2004,Melaka,Total, 269.5 
2005,Melaka,Total, 274.5 
2006,Melaka,Total, 276.7 
2007,Melaka,Total, 290.4 
2008,Melaka,Total, 290.0 
2009,Melaka,Total, 290.9 
2010,Melaka,Total, 338.6 
2011,Melaka,Total, 343.3 
2012,Melaka,Total, 358.8 
2013,Melaka,Total, 378.3 
2014,Melaka,Total, 398.3 
2015,Melaka,Total, 402.4 
1982,Negeri Sembilan,Total, 222.8 
1983,Negeri Sembilan,Total, 223.5 
1984,Negeri Sembilan,Total, 234.9 
1985,Negeri Sembilan,Total, 221.1 
1986,Negeri Sembilan,Total, 229.5 
1987,Negeri Sembilan,Total, 240.0 
1988,Negeri Sembilan,Total, 242.5 
1989,Negeri Sembilan,Total, 241.0 
1990,Negeri Sembilan,Total, 224.5 
1992,Negeri Sembilan,Total, 259.8 
1993,Negeri Sembilan,Total, 292.6 
1995,Negeri Sembilan,Total, 305.6 
1996,Negeri Sembilan,Total, 327.5 
1997,Negeri Sembilan,Total, 315.7 
1998,Negeri Sembilan,Total, 315.7 
1999,Negeri Sembilan,Total, 285.8 
2000,Negeri Sembilan,Total, 359.6 
2001,Negeri Sembilan,Total, 362.8 
2002,Negeri Sembilan,Total, 337.2 
2003,Negeri Sembilan,Total, 352.3 
2004,Negeri Sembilan,Total, 373.6 
2005,Negeri Sembilan,Total, 386.7 
2006,Negeri Sembilan,Total, 394.5 
2007,Negeri Sembilan,Total, 395.8 
2008,Negeri Sembilan,Total, 399.3 
2009,Negeri Sembilan,Total, 402.2 
2010,Negeri Sembilan,Total, 418.3 
2011,Negeri Sembilan,Total, 429.1 
2012,Negeri Sembilan,Total, 455.7 
2013,Negeri Sembilan,Total, 478.9 
2014,Negeri Sembilan,Total, 480.9 
2015,Negeri Sembilan,Total, 483.6 
1982,Pahang,Total, 279.6 
1983,Pahang,Total, 342.6 
1984,Pahang,Total, 321.7 
1985,Pahang,Total, 342.7 
1986,Pahang,Total, 331.6 
1987,Pahang,Total, 354.1 
1988,Pahang,Total, 374.8 
1989,Pahang,Total, 393.8 
1990,Pahang,Total, 442.5 
1992,Pahang,Total, 428.9 
1993,Pahang,Total, 393.2 
1995,Pahang,Total, 385.1 
1996,Pahang,Total, 417.0 
1997,Pahang,Total, 407.6 
1998,Pahang,Total, 374.8 
1999,Pahang,Total, 396.2 
2000,Pahang,Total, 459.1 
2001,Pahang,Total, 451.6 
2002,Pahang,Total, 419.0 
2003,Pahang,Total, 477.1 
2004,Pahang,Total, 544.0 
2005,Pahang,Total, 542.7 
2006,Pahang,Total, 571.3 
2007,Pahang,Total, 580.2 
2008,Pahang,Total, 605.7 
2009,Pahang,Total, 622.3 
2010,Pahang,Total, 608.4 
2011,Pahang,Total, 624.6 
2012,Pahang,Total, 650.9 
2013,Pahang,Total, 678.9 
2014,Pahang,Total, 702.1 
2015,Pahang,Total, 718.2 
1982,Pulau Pinang,Total, 396.0 
1983,Pulau Pinang,Total, 421.0 
1984,Pulau Pinang,Total, 397.9 
1985,Pulau Pinang,Total, 408.5 
1986,Pulau Pinang,Total, 427.2 
1987,Pulau Pinang,Total, 432.8 
1988,Pulau Pinang,Total, 427.8 
1989,Pulau Pinang,Total, 453.9 
1990,Pulau Pinang,Total, 470.3 
1992,Pulau Pinang,Total, 521.4 
1993,Pulau Pinang,Total, 543.1 
1995,Pulau Pinang,Total, 492.7 
1996,Pulau Pinang,Total, 452.4 
1997,Pulau Pinang,Total, 558.0 
1998,Pulau Pinang,Total, 599.3 
1999,Pulau Pinang,Total, 617.5 
2000,Pulau Pinang,Total, 682.3 
2001,Pulau Pinang,Total, 733.3 
2002,Pulau Pinang,Total, 657.2 
2003,Pulau Pinang,Total, 686.3 
2004,Pulau Pinang,Total, 636.7 
2005,Pulau Pinang,Total, 634.9 
2006,Pulau Pinang,Total, 658.9 
2007,Pulau Pinang,Total, 667.6 
2008,Pulau Pinang,Total, 688.4 
2009,Pulau Pinang,Total, 707.1 
2010,Pulau Pinang,Total, 759.0 
2011,Pulau Pinang,Total, 787.5 
2012,Pulau Pinang,Total, 795.8 
2013,Pulau Pinang,Total, 826.1 
2014,Pulau Pinang,Total, 852.5 
2015,Pulau Pinang,Total, 848.1 
1982,Perak,Total, 638.6 
1983,Perak,Total, 704.9 
1984,Perak,Total, 697.2 
1985,Perak,Total, 713.1 
1986,Perak,Total, 734.2 
1987,Perak,Total, 728.8 
1988,Perak,Total, 715.0 
1989,Perak,Total, 726.5 
1990,Perak,Total, 706.8 
1992,Perak,Total, 719.7 
1993,Perak,Total, 699.6 
1995,Perak,Total, 659.9 
1996,Perak,Total, 746.9 
1997,Perak,Total, 760.6 
1998,Perak,Total, 712.7 
1999,Perak,Total, 715.4 
2000,Perak,Total, 771.3 
2001,Perak,Total, 761.3 
2002,Perak,Total, 820.6 
2003,Perak,Total, 771.4 
2004,Perak,Total, 818.3 
2005,Perak,Total, 828.8 
2006,Perak,Total, 845.5 
2007,Perak,Total, 877.9 
2008,Perak,Total, 892.6 
2009,Perak,Total, 923.7 
2010,Perak,Total, 906.0 
2011,Perak,Total, 944.6 
2012,Perak,Total, 955.4 
2013,Perak,Total, 985.2 
2014,Perak,Total, 987.2 
2015,Perak,Total," 1,014.3 "
1982,Perlis,Total, 58.1 
1983,Perlis,Total, 66.0 
1984,Perlis,Total, 64.8 
1985,Perlis,Total, 65.5 
1986,Perlis,Total, 62.6 
1987,Perlis,Total, 64.9 
1988,Perlis,Total, 70.9 
1989,Perlis,Total, 70.9 
1990,Perlis,Total, 59.7 
1992,Perlis,Total, 68.8 
1993,Perlis,Total, 71.7 
1995,Perlis,Total, 71.8 
1996,Perlis,Total, 71.5 
1997,Perlis,Total, 71.8 
1998,Perlis,Total, 74.2 
1999,Perlis,Total, 81.2 
2000,Perlis,Total, 77.0 
2001,Perlis,Total, 85.9 
2002,Perlis,Total, 58.8 
2003,Perlis,Total, 80.1 
2004,Perlis,Total, 76.3 
2005,Perlis,Total, 76.2 
2006,Perlis,Total, 77.0 
2007,Perlis,Total, 82.5 
2008,Perlis,Total, 84.0 
2009,Perlis,Total, 84.3 
2010,Perlis,Total, 83.6 
2011,Perlis,Total, 86.8 
2012,Perlis,Total, 90.6 
2013,Perlis,Total, 97.9 
2014,Perlis,Total, 98.5 
2015,Perlis,Total, 101.1 
1982,Selangor,Total, 691.9 
1983,Selangor,Total, 757.2 
1984,Selangor,Total, 718.8 
1985,Selangor,Total, 740.6 
1986,Selangor,Total, 823.7 
1987,Selangor,Total, 916.6 
1988,Selangor,Total, 949.0 
1989,Selangor,Total, 936.8 
1990,Selangor,Total," 1,060.0 "
1992,Selangor,Total," 1,092.8 "
1993,Selangor,Total," 1,110.1 "
1995,Selangor,Total," 1,366.0 "
1996,Selangor,Total," 1,371.1 "
1997,Selangor,Total," 1,343.0 "
1998,Selangor,Total," 1,457.0 "
1999,Selangor,Total," 1,455.0 "
2000,Selangor,Total," 1,715.3 "
2001,Selangor,Total," 1,552.5 "
2002,Selangor,Total," 1,803.2 "
2003,Selangor,Total," 1,895.3 "
2004,Selangor,Total," 2,028.1 "
2005,Selangor,Total," 2,048.8 "
2006,Selangor,Total," 2,084.4 "
2007,Selangor,Total," 2,128.0 "
2008,Selangor,Total," 2,159.8 "
2009,Selangor,Total," 2,173.3 "
2010,Selangor,Total," 2,634.4 "
2011,Selangor,Total," 2,710.8 "
2012,Selangor,Total," 2,842.6 "
2013,Selangor,Total," 3,006.2 "
2014,Selangor,Total," 3,096.0 "
2015,Selangor,Total," 3,212.9 "
1982,Terengganu,Total, 227.2 
1983,Terengganu,Total, 243.1 
1984,Terengganu,Total, 219.3 
1985,Terengganu,Total, 228.9 
1986,Terengganu,Total, 241.4 
1987,Terengganu,Total, 236.5 
1988,Terengganu,Total, 253.6 
1989,Terengganu,Total, 262.1 
1990,Terengganu,Total, 244.6 
1992,Terengganu,Total, 267.7 
1993,Terengganu,Total, 302.1 
1995,Terengganu,Total, 284.9 
1996,Terengganu,Total, 308.1 
1997,Terengganu,Total, 292.9 
1998,Terengganu,Total, 305.6 
1999,Terengganu,Total, 312.3 
2000,Terengganu,Total, 315.4 
2001,Terengganu,Total, 307.1 
2002,Terengganu,Total, 288.9 
2003,Terengganu,Total, 355.1 
2004,Terengganu,Total, 347.9 
2005,Terengganu,Total, 353.1 
2006,Terengganu,Total, 364.6 
2007,Terengganu,Total, 372.7 
2008,Terengganu,Total, 388.8 
2009,Terengganu,Total, 405.6 
2010,Terengganu,Total, 380.6 
2011,Terengganu,Total, 403.2 
2012,Terengganu,Total, 401.8 
2013,Terengganu,Total, 421.3 
2014,Terengganu,Total, 432.8 
2015,Terengganu,Total, 438.0 
1982,Sabah,Total, 354.3 
1983,Sabah,Total, 393.8 
1984,Sabah,Total, 425.9 
1985,Sabah,Total, 431.0 
1986,Sabah,Total, 441.6 
1987,Sabah,Total, 466.5 
1988,Sabah,Total, 462.6 
1989,Sabah,Total, 477.5 
1990,Sabah,Total, 479.9 
1992,Sabah,Total, 524.3 
1993,Sabah,Total, 725.3 
1995,Sabah,Total, 764.7 
1996,Sabah,Total," 1,032.3 "
1997,Sabah,Total," 1,048.5 "
1998,Sabah,Total," 1,123.7 "
1999,Sabah,Total," 1,167.2 "
2000,Sabah,Total, 991.6 
2001,Sabah,Total," 1,048.0 "
2002,Sabah,Total," 1,093.2 "
2003,Sabah,Total," 1,134.5 "
2004,Sabah,Total," 1,156.9 "
2005,Sabah,Total," 1,181.9 "
2006,Sabah,Total," 1,230.4 "
2007,Sabah,Total," 1,267.7 "
2008,Sabah,Total," 1,294.2 "
2009,Sabah,Total," 1,345.3 "
2010,Sabah,Total," 1,480.7 "
2011,Sabah,Total," 1,562.5 "
2012,Sabah,Total," 1,627.9 "
2013,Sabah,Total," 1,801.7 "
2014,Sabah,Total," 1,831.6 "
2015,Sabah,Total," 1,863.4 "
1982,Sarawak,Total, 539.7 
1983,Sarawak,Total, 569.5 
1984,Sarawak,Total, 616.7 
1985,Sarawak,Total, 632.7 
1986,Sarawak,Total, 674.8 
1987,Sarawak,Total, 712.2 
1988,Sarawak,Total, 710.3 
1989,Sarawak,Total, 760.0 
1990,Sarawak,Total, 775.4 
1992,Sarawak,Total, 771.1 
1993,Sarawak,Total, 810.2 
1995,Sarawak,Total, 828.6 
1996,Sarawak,Total, 869.5 
1997,Sarawak,Total, 864.9 
1998,Sarawak,Total, 868.1 
1999,Sarawak,Total, 906.9 
2000,Sarawak,Total, 915.7 
2001,Sarawak,Total, 918.0 
2002,Sarawak,Total, 955.8 
2003,Sarawak,Total, 946.4 
2004,Sarawak,Total, 955.2 
2005,Sarawak,Total, 950.3 
2006,Sarawak,Total, 958.0 
2007,Sarawak,Total, 997.4 
2008,Sarawak,Total, 973.0 
2009,Sarawak,Total," 1,024.2 "
2010,Sarawak,Total," 1,093.7 "
2011,Sarawak,Total," 1,103.4 "
2012,Sarawak,Total," 1,184.9 "
2013,Sarawak,Total," 1,234.2 "
2014,Sarawak,Total," 1,271.4 "
2015,Sarawak,Total," 1,258.3 "
1982,W.P. Kuala Lumpur,Total, 472.6 
1983,W.P. Kuala Lumpur,Total, 439.6 
1984,W.P. Kuala Lumpur,Total, 504.5 
1985,W.P. Kuala Lumpur,Total, 509.7 
1986,W.P. Kuala Lumpur,Total, 481.3 
1987,W.P. Kuala Lumpur,Total, 485.5 
1988,W.P. Kuala Lumpur,Total, 498.7 
1989,W.P. Kuala Lumpur,Total, 524.3 
1990,W.P. Kuala Lumpur,Total, 503.9 
1992,W.P. Kuala Lumpur,Total, 569.6 
1993,W.P. Kuala Lumpur,Total, 598.6 
1995,W.P. Kuala Lumpur,Total, 598.4 
1996,W.P. Kuala Lumpur,Total, 710.8 
1997,W.P. Kuala Lumpur,Total, 700.7 
1998,W.P. Kuala Lumpur,Total, 685.6 
1999,W.P. Kuala Lumpur,Total, 710.4 
2000,W.P. Kuala Lumpur,Total, 680.4 
2001,W.P. Kuala Lumpur,Total, 723.2 
2002,W.P. Kuala Lumpur,Total, 816.9 
2003,W.P. Kuala Lumpur,Total, 740.3 
2004,W.P. Kuala Lumpur,Total, 691.6 
2005,W.P. Kuala Lumpur,Total, 691.4 
2006,W.P. Kuala Lumpur,Total, 696.1 
2007,W.P. Kuala Lumpur,Total, 702.4 
2008,W.P. Kuala Lumpur,Total, 701.0 
2009,W.P. Kuala Lumpur,Total, 698.3 
2010,W.P. Kuala Lumpur,Total, 812.9 
2011,W.P. Kuala Lumpur,Total, 837.6 
2012,W.P. Kuala Lumpur,Total, 842.9 
2013,W.P. Kuala Lumpur,Total, 907.3 
2014,W.P. Kuala Lumpur,Total, 877.0 
2015,W.P. Kuala Lumpur,Total, 882.6 
1982,W.P Labuan,Total,
1983,W.P Labuan,Total,
1984,W.P Labuan,Total, 17.3 
1985,W.P Labuan,Total, 16.3 
1986,W.P Labuan,Total, 15.3 
1987,W.P Labuan,Total, 13.6 
1988,W.P Labuan,Total, 13.8 
1989,W.P Labuan,Total, 14.7 
1990,W.P Labuan,Total, 15.7 
1992,W.P Labuan,Total, 15.4 
1993,W.P Labuan,Total, 18.4 
1995,W.P Labuan,Total, 32.6 
1996,W.P Labuan,Total, 39.4 
1997,W.P Labuan,Total, 35.9 
1998,W.P Labuan,Total, 37.9 
1999,W.P Labuan,Total, 42.9 
2000,W.P Labuan,Total, 26.7 
2001,W.P Labuan,Total, 28.7 
2002,W.P Labuan,Total, 34.0 
2003,W.P Labuan,Total, 33.3 
2004,W.P Labuan,Total, 34.0 
2005,W.P Labuan,Total, 32.2 
2006,W.P Labuan,Total, 33.7 
2007,W.P Labuan,Total, 34.1 
2008,W.P Labuan,Total, 34.5 
2009,W.P Labuan,Total, 37.6 
2010,W.P Labuan,Total, 40.0 
2011,W.P Labuan,Total, 40.3 
2012,W.P Labuan,Total, 41.3 
2013,W.P Labuan,Total, 41.8 
2014,W.P Labuan,Total, 43.0 
2015,W.P Labuan,Total, 41.5 
1982,W.P.Putrajaya,Total,
1983,W.P.Putrajaya,Total,
1984,W.P.Putrajaya,Total,
1985,W.P.Putrajaya,Total,
1986,W.P.Putrajaya,Total,
1987,W.P.Putrajaya,Total,
1988,W.P.Putrajaya,Total,
1989,W.P.Putrajaya,Total,
1990,W.P.Putrajaya,Total,
1992,W.P.Putrajaya,Total,
1993,W.P.Putrajaya,Total,
1995,W.P.Putrajaya,Total,
1996,W.P.Putrajaya,Total,
1997,W.P.Putrajaya,Total,
1998,W.P.Putrajaya,Total,
1999,W.P.Putrajaya,Total,
2000,W.P.Putrajaya,Total,
2001,W.P.Putrajaya,Total,
2002,W.P.Putrajaya,Total,
2003,W.P.Putrajaya,Total,
2004,W.P.Putrajaya,Total,
2005,W.P.Putrajaya,Total,
2006,W.P.Putrajaya,Total,
2007,W.P.Putrajaya,Total,
2008,W.P.Putrajaya,Total,
2009,W.P.Putrajaya,Total,
2010,W.P.Putrajaya,Total,
2011,W.P.Putrajaya,Total, 41.9 
2012,W.P.Putrajaya,Total, 40.9 
2013,W.P.Putrajaya,Total, 41.2 
2014,W.P.Putrajaya,Total, 40.8 
2015,W.P.Putrajaya,Total, 38.9 
1982,Malaysia,Never Married," 1,943.9 "
1983,Malaysia,Never Married," 2,005.8 "
1984,Malaysia,Never Married," 2,112.2 "
1985,Malaysia,Never Married," 2,186.0 "
1986,Malaysia,Never Married," 2,309.0 "
1987,Malaysia,Never Married," 2,397.1 "
1988,Malaysia,Never Married," 2,482.1 "
1989,Malaysia,Never Married," 2,533.4 "
1990,Malaysia,Never Married," 2,647.2 "
1992,Malaysia,Never Married," 2,718.3 "
1993,Malaysia,Never Married," 2,756.8 "
1995,Malaysia,Never Married," 2,798.5 "
1996,Malaysia,Never Married," 3,028.3 "
1997,Malaysia,Never Married," 3,047.2 "
1998,Malaysia,Never Married," 3,082.9 "
1999,Malaysia,Never Married," 3,188.7 "
2000,Malaysia,Never Married," 3,358.9 "
2001,Malaysia,Never Married," 3,336.2 "
2002,Malaysia,Never Married," 3,382.0 "
2003,Malaysia,Never Married," 3,547.5 "
2004,Malaysia,Never Married," 3,545.9 "
2005,Malaysia,Never Married," 3,689.1 "
2006,Malaysia,Never Married," 3,725.4 "
2007,Malaysia,Never Married," 3,826.2 "
2008,Malaysia,Never Married," 3,895.7 "
2009,Malaysia,Never Married," 3,904.9 "
2010,Malaysia,Never Married," 4,466.0 "
2011,Malaysia,Never Married," 4,632.1 "
2012,Malaysia,Never Married," 4,712.8 "
2013,Malaysia,Never Married," 4,965.4 "
2014,Malaysia,Never Married," 5,012.9 "
2015,Malaysia,Never Married," 4,974.5 "
1982,Johor,Never Married, 252.6 
1983,Johor,Never Married, 240.4 
1984,Johor,Never Married, 259.8 
1985,Johor,Never Married, 274.9 
1986,Johor,Never Married, 294.7 
1987,Johor,Never Married, 307.7 
1988,Johor,Never Married, 321.9 
1989,Johor,Never Married, 338.5 
1990,Johor,Never Married, 377.4 
1992,Johor,Never Married, 378.5 
1993,Johor,Never Married, 389.6 
1995,Johor,Never Married, 339.1 
1996,Johor,Never Married, 374.8 
1997,Johor,Never Married, 395.6 
1998,Johor,Never Married, 385.9 
1999,Johor,Never Married, 388.1 
2000,Johor,Never Married, 474.8 
2001,Johor,Never Married, 486.9 
2002,Johor,Never Married, 442.1 
2003,Johor,Never Married, 480.1 
2004,Johor,Never Married, 472.5 
2005,Johor,Never Married, 478.3 
2006,Johor,Never Married, 471.6 
2007,Johor,Never Married, 486.2 
2008,Johor,Never Married, 480.7 
2009,Johor,Never Married, 490.7 
2010,Johor,Never Married, 560.7 
2011,Johor,Never Married, 570.4 
2012,Johor,Never Married, 553.9 
2013,Johor,Never Married, 550.0 
2014,Johor,Never Married, 575.5 
2015,Johor,Never Married, 584.4 
1982,Kedah,Never Married, 111.5 
1983,Kedah,Never Married, 101.2 
1984,Kedah,Never Married, 134.6 
1985,Kedah,Never Married, 134.8 
1986,Kedah,Never Married, 144.8 
1987,Kedah,Never Married, 147.6 
1988,Kedah,Never Married, 156.6 
1989,Kedah,Never Married, 157.3 
1990,Kedah,Never Married, 159.4 
1992,Kedah,Never Married, 166.0 
1993,Kedah,Never Married, 148.2 
1995,Kedah,Never Married, 163.3 
1996,Kedah,Never Married, 160.4 
1997,Kedah,Never Married, 178.1 
1998,Kedah,Never Married, 181.4 
1999,Kedah,Never Married, 216.6 
2000,Kedah,Never Married, 191.6 
2001,Kedah,Never Married, 220.6 
2002,Kedah,Never Married, 194.1 
2003,Kedah,Never Married, 210.8 
2004,Kedah,Never Married, 218.9 
2005,Kedah,Never Married, 231.0 
2006,Kedah,Never Married, 223.3 
2007,Kedah,Never Married, 232.2 
2008,Kedah,Never Married, 233.5 
2009,Kedah,Never Married, 243.8 
2010,Kedah,Never Married, 229.7 
2011,Kedah,Never Married, 238.8 
2012,Kedah,Never Married, 254.9 
2013,Kedah,Never Married, 268.8 
2014,Kedah,Never Married, 273.8 
2015,Kedah,Never Married, 287.4 
1982,Kelantan,Never Married, 68.9 
1983,Kelantan,Never Married, 60.9 
1984,Kelantan,Never Married, 79.1 
1985,Kelantan,Never Married, 84.3 
1986,Kelantan,Never Married, 93.8 
1987,Kelantan,Never Married, 99.2 
1988,Kelantan,Never Married, 113.3 
1989,Kelantan,Never Married, 106.0 
1990,Kelantan,Never Married, 103.6 
1992,Kelantan,Never Married, 105.2 
1993,Kelantan,Never Married, 104.9 
1995,Kelantan,Never Married, 106.5 
1996,Kelantan,Never Married, 109.9 
1997,Kelantan,Never Married, 99.9 
1998,Kelantan,Never Married, 113.4 
1999,Kelantan,Never Married, 109.7 
2000,Kelantan,Never Married, 102.5 
2001,Kelantan,Never Married, 109.5 
2002,Kelantan,Never Married, 105.8 
2003,Kelantan,Never Married, 124.3 
2004,Kelantan,Never Married, 123.4 
2005,Kelantan,Never Married, 134.0 
2006,Kelantan,Never Married, 143.3 
2007,Kelantan,Never Married, 150.1 
2008,Kelantan,Never Married, 154.3 
2009,Kelantan,Never Married, 158.5 
2010,Kelantan,Never Married, 140.8 
2011,Kelantan,Never Married, 156.3 
2012,Kelantan,Never Married, 177.4 
2013,Kelantan,Never Married, 187.7 
2014,Kelantan,Never Married, 203.0 
2015,Kelantan,Never Married, 215.2 
1982,Melaka,Never Married, 68.6 
1983,Melaka,Never Married, 61.8 
1984,Melaka,Never Married, 64.1 
1985,Melaka,Never Married, 71.1 
1986,Melaka,Never Married, 76.8 
1987,Melaka,Never Married, 72.3 
1988,Melaka,Never Married, 77.7 
1989,Melaka,Never Married, 77.3 
1990,Melaka,Never Married, 71.4 
1992,Melaka,Never Married, 80.9 
1993,Melaka,Never Married, 82.2 
1995,Melaka,Never Married, 84.6 
1996,Melaka,Never Married, 83.4 
1997,Melaka,Never Married, 93.4 
1998,Melaka,Never Married, 82.8 
1999,Melaka,Never Married, 86.4 
2000,Melaka,Never Married, 93.3 
2001,Melaka,Never Married, 92.5 
2002,Melaka,Never Married, 77.3 
2003,Melaka,Never Married, 104.4 
2004,Melaka,Never Married, 92.3 
2005,Melaka,Never Married, 95.9 
2006,Melaka,Never Married, 99.0 
2007,Melaka,Never Married, 102.1 
2008,Melaka,Never Married, 98.3 
2009,Melaka,Never Married, 103.6 
2010,Melaka,Never Married, 123.0 
2011,Melaka,Never Married, 120.5 
2012,Melaka,Never Married, 131.5 
2013,Melaka,Never Married, 129.4 
2014,Melaka,Never Married, 135.6 
2015,Melaka,Never Married, 135.4 
1982,Negeri Sembilan,Never Married, 77.2 
1983,Negeri Sembilan,Never Married, 73.9 
1984,Negeri Sembilan,Never Married, 79.9 
1985,Negeri Sembilan,Never Married, 73.0 
1986,Negeri Sembilan,Never Married, 78.4 
1987,Negeri Sembilan,Never Married, 81.3 
1988,Negeri Sembilan,Never Married, 87.8 
1989,Negeri Sembilan,Never Married, 81.8 
1990,Negeri Sembilan,Never Married, 70.9 
1992,Negeri Sembilan,Never Married, 82.5 
1993,Negeri Sembilan,Never Married, 97.7 
1995,Negeri Sembilan,Never Married, 95.5 
1996,Negeri Sembilan,Never Married, 112.3 
1997,Negeri Sembilan,Never Married, 103.9 
1998,Negeri Sembilan,Never Married, 104.1 
1999,Negeri Sembilan,Never Married, 94.6 
2000,Negeri Sembilan,Never Married, 119.9 
2001,Negeri Sembilan,Never Married, 111.1 
